,log2abs
Msn2_Scramble10,10.843262031258297
Msn2_Scramble30,8.630405314714825
Msn2,13.450336161963364
Msn2_dGal11,13.26938800693143
Msn2_dMotA,13.36845865791077
Msn2_dTAD,12.85481626975182
Msn2_604,11.333949697038678
Msn2_Zfonly,12.134947451170014
Msn2_dZF,11.28950109736708
Msn2_sCerm4T,13.174478006470816
Msn2_sBay_m2_Tail,12.727206610736609
Msn2_sBay_m4_Tail,13.39668077831372
Msn2_sMik_m2_Tail,13.570381999180842
Msn2_sKud_m2_Tail,13.458869724150926
Msn2_sKud_m4_Tail,13.312809475029932
Msn2_sCas_m2_Tail,13.790121831364692
Msn2_sCas_m4_Tail,13.334130469840376
Msn2_cGla_m2_Tail,13.300644595386451
Msn2_cGla_m4_Tail,12.283741683683848
Msn2_kLac_m_Tail,13.221869641912804
Msn2_lWal_m_Tail,13.08002321212232
Msn2_sKlu_m_Tail,13.343598586704738
Msn2_135,13.236085198365814
Msn2_320,12.756359298549445
Msn2_370,12.295063123393716
Msn2_420,12.443638392012396
Msn2_470,12.33733794059292
Msn2_520,12.190054042360876
Msn2_570,11.330191708325094
Msn2_150_350,13.167945432315951
Msn2_250_450,13.192297778685306
Msn2_350_550,13.37027493027008
Msn2_450_642,13.6446956258864
Msn2_Scramble1,13.712612627961802
Msn2_Scramble2,13.216228268105082
Msn2_Scramble3,13.691103200186433
Msn2_200,13.451736090240532
Msn2_150_450,13.466741596176902
Msn2_150_550,13.186456269674334
Msn2_250_550,13.420742524599152
Msn2_250_642,13.684655027352846
Msn2_dMotB,13.577804475088694
R_nextto_N,10.790474017840054
Y_nextto_N,11.021869733040726
ED_cluster2,9.712129306445767
rep1x3,12.736704013336778
FWY_cluster3,8.803673394552504
90_chargedaa_to_random_2,11.992851382068697
rep8,11.040145134565948
S_to_A,13.736741042345866
Start_3rep1,12.870471076220028
N_to_R,11.505392706729264
S_shift,12.795620846629737
LIV_random1,12.851311534311176
90_chargedaa_to_random_3,11.349442572585025
rep8x4,10.76424955082138
rep5x2,12.372764567277486
FWY_deletion,12.200480528629312
N_to_T,11.233373800147138
rep0x2,13.051395107801582
N_to_Q,13.914784895927856
90p_10n_chargeratio,12.452028846231965
LI_shift,13.185449800061647
NQ_shift,13.512437039894612
FWY_cluster2,10.2374643106051
LIV_cluster2,9.824256963685194
rep5x3,12.36026922073638
90_chargedaa_to_A,9.937152602147457
N_to_G,13.466605395090042
P_to_A,14.448550968724083
rep4,11.89808785264104
N_to_Y,10.050799994177352
40p_60n_chargeratio,13.563990531021917
70p_30n_chargeratio,12.899628785208415
LIV_cluster3,9.937437055118105
L_to_A,13.5148558514611
rep3x4,12.367762796855208
N_to_S,11.733383094342724
ED_shift1,8.887736984098835
raax4,10.43036634421139
30p_70n_chargeratio,13.842738410455071
NS_swapped,13.570934532222427
T_nextto_N,13.601787730012848
MSN2WT,13.852288218601066
rep0x4,13.14850573686981
rep5x4,13.464430718003989
ED_random3,12.202963339019034
FWY_to_A,12.951363079349656
rep0,12.050644690126502
FWY_random3,13.005114022520464
ED_deletion,9.001228636804349
charged_random_cluster_2,13.826339418928198
LIV_cluster1,8.309945305938239
D_nextto_N,12.579280303716653
FWY_shift,13.575911943331
20p_80n_chargeratio,13.662773751714235
Q_nextto_N,13.887296478539223
ED_shift2,13.354870516814875
rep1x4,13.258291424813166
G_to_A,13.737417452201967
90_chargedaa_to_F,11.91412382192028
PG_shift,13.839206735574711
50p_50n_chargeratio,12.711984961666907
S_nextto_N,13.254489644776111
90_E_charged,13.743678194725968
rep5,11.72227205947076
rep1x2,12.65249818253273
DE_to_A,8.775777894707531
N_to_E,13.235092246265785
N_to_H,13.993178523428858
ST_deletion,13.570771905166186
60p_40n_chargeratio,12.944377693014715
KR_to_A,13.838347907186842
LIV_deletion,12.83840193771321
N_to_D,13.128972290361656
MSN2_start_nls,11.732557255314198
10p_90n_chargeratio,13.545171242871884
ED_random2,11.18376319725454
NQ_to_A,11.628375078089196
80p_20n_chargeratio,11.953961325559057
Left_positive_right_negative,12.551166554177552
90_D_charged,13.267654667350032
A_nextto_N,9.865749303087654
NQ_deletion,11.664653045129947
rep4x2,
E_nextto_N,12.773894234341457
rep8x3,8.118387163114447
rep8x2,10.609155687870262
rep4x3,12.774453463817366
rep1,11.893545431913612
