strain,log2abs
10p_90n_chargeratio_1,13.54161976278079
10p_90n_chargeratio_2,13.548658144631908
20p_80n_chargeratio_1,13.668507938201067
20p_80n_chargeratio_2,13.783497066210751
20p_80n_chargeratio_3,13.526485694254843
30p_70n_chargeratio_1,13.863492132100541
30p_70n_chargeratio_2,13.881785698467864
30p_70n_chargeratio_3,13.781300613981646
40p_60n_chargeratio_1,13.64048316515738
40p_60n_chargeratio_2,13.482720778733912
50p_50n_chargeratio_2,12.710912687829065
50p_50n_chargeratio_3,12.713070585234792
60p_40n_chargeratio_1,13.033474029086122
60p_40n_chargeratio_2,13.099221563674707
60p_40n_chargeratio_3,12.674231079225612
70p_30n_chargeratio_1,13.066267416735867
70p_30n_chargeratio_2,12.715054099371159
80p_20n_chargeratio_1,11.88715757850056
80p_20n_chargeratio_2,12.019088905250937
90_D_charged_1,13.267654667350032
90_E_charged_1,13.74367819472597
90_chargedaa_to_A_1,9.307681018918249
90_chargedaa_to_A_2,10.373837458460478
90_chargedaa_to_F_1,11.91412382192028
90_chargedaa_to_N_1,14.00830025390664
90_chargedaa_to_N_2,14.019180248531374
90_chargedaa_to_random_2_1,11.992851382068695
90_chargedaa_to_random_3_1,11.300427793841886
90_chargedaa_to_random_3_2,11.397092231790012
90p_10n_chargeratio_1,12.582910575829896
90p_10n_chargeratio_2,12.544476608853575
90p_10n_chargeratio_3,12.210571714278599
A_nextto_N_1,9.865749303087654
DEKR_to_Q_4,12.426384475413041
DEKR_to_Q_5,12.513623657117957
DE_spread_1,13.502629333947633
DE_spread_2,12.701734384635408
DE_spread_3,12.483375287729428
DE_spread_4,13.672219916731262
DE_spread_5,13.587765583001342
DE_to_A_2,8.936127609111509
DE_to_A_6,8.571975866304626
DE_to_N_2,11.291881442415937
DE_to_N_3,10.944138947732027
DE_to_N_4,11.254639368799985
DE_to_Q_3,12.991365339038621
DE_to_Q_4,13.36155195797617
D_nextto_N_1,12.584161000111791
D_nextto_N_2,12.574508120244138
ED_cluster2_B,9.712129306445767
ED_deletion_B,9.001228636804349
ED_random1_B,11.102674494415984
ED_random2_B,11.183763197254539
ED_random3_B,12.202963339019034
ED_shift1_B,8.887736984098835
ED_shift2_B,13.354870516814875
E_nextto_N_1,13.040594330451501
E_nextto_N_2,12.478833378951544
FWY_cluster2_B,10.2374643106051
FWY_cluster3_B,8.60102198258721
FWY_cluster3_F,8.988952292331904
FWY_deletion_B,12.200480528629312
